Description,Index,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
Pick up the yellow cube.,1341,Configuration_1_v1.png,human,5,0:00:16,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
pick up the yellow block,1363,Configuration_1_v1.png,human,5,0:00:14,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
Please pick up the yellow block,1387,Configuration_1_v1.png,human,5,0:00:18,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together.,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
grab the yellow block.,1438,Configuration_1_v1.png,human,5,0:00:10,I followed common sense strategies.,Not challenging. Describing different blocks of the same color.,interesting.,25,male,self employed,>20,Left,1,2,2,3,3,no,903
I would ask them to lift the block that's farthest to their right.,1460,Configuration_1_v1.png,human,4,0:00:32,No.,I was sort of challenging but nothing I couldn't handle.,Thanks!,31,male,Photographer,15-20,Right,1,5,3,5,5,Yes. The experience was amusing.,901
Pick up the block on your left side thats closer to me but not all the way in the back.,1503,Configuration_1_v1.png,human,2,0:00:02,"Not really, just tried to describe the general area the best I could without being confusing.","It was pretty challenging, I found the hard ones to be where the block was located somewhere in the middle, on a particular side.",It was fun!,23,male,Student,15-20,Right,1,2,3,6,5,No,905
"To the right of you, grab the block at the utmost top to the right.",1537,Configuration_1_v1.png,human,4,0:00:42,Just putting myself in their shoes.,"Quite challenging, but very fun nonetheless. ",Very fun!,23,female,Nanny,15-20,Right,1,1,1,7,6,Nope,909
the yellow block,1575,Configuration_1_v1.png,human,5,0:00:07,"I made sure to say right and left in relation to THEIR view, not mine","some were really easy, some challenging. the challenging ones had a bunch of the same colored block with the targeted block in center of them",,30,female,homemaker,15-20,Right,1,1,1,2,2,no not really,927
Pick up the yellow  block.,32,Configuration_1_v1.png,human,5,0:00:09,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
pick up the only yellow block,108,Configuration_1_v1.png,human,5,0:00:18,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Please pick up the only yellow block on the table.,200,Configuration_1_v1.png,human,5,0:00:22,"I did not observe that, I was just trying to make it simple for the person across from me. ",Fairly difficult. I found trying to explain the layout to be challenging.,"This has been a very unique and fun HIT, thank you for the work. ",35,male,Retail sales manager,>20,Right,1,2,4,7,5,"I have seen toy robots that I had as a kid int he 80's, but nothing like what they are developing these days in person it would be fun to see them in person.",23
Pick up the yellow block.,446,Configuration_1_v1.png,human,5,0:00:12,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7
Pick up the yellow block.,504,Configuration_1_v1.png,human,5,0:00:10,I used relative positions,Moderately challenging to ensure correct block is chosen,,23,male,student,>20,Right,1,5,3,7,5,I have built and programmed robots to perform simple tasks like solving a maze or following a line on the ground.,243
Pick up the yellow block.,674,Configuration_1_v1.png,human,5,0:00:10,"I tried to imagine myself sitting as the person in the chair and go for simplicity and number of colors. For example, if there's only two blue blocks on the left and right side respectively, I instructed to pick up the right blue block. ",I thought it was challenging when there were bunches of blocks in circular arrangements. It was hard to instruct the person and I'm not sure I was able to give a good direction.,Really fun!,32,female,Bakery Manager,>20,Right,1,1,1,7,5,,251
Pick up the yellow block,728,Configuration_1_v1.png,human,5,0:00:09,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229
pick up the yellow block,750,Configuration_1_v1.png,human,,0:00:10,not that i noticed,not too easy or too difficult.,,25,male,customer service,>20,Right,1,4,4,4,4,no,91
you want the lone yellow one on the outside right of the pile.,840,Configuration_1_v1.png,human,5,0:00:16,trying to describe colors around the block,quite challenging.  some of them were pretty easy but over all it was difficult,i missed one of them by accidently clicking the button twice in a row and having it skip,33,male,Measurement,>20,Right,1,2,5,7,5,,221
Pick up the only yellow block that is on the table.,988,Configuration_1_v1.png,human,5,0:00:20,I tried to imagine that I was the one receiving the instructions to make sure I could follow them.,Not too challenging. It was more challenging when there was more than one block that could meet many of the criteria.,Thank you!,56,female,homemaker,>20,Right,1,5,3,5,5,I own a robot vacuum and I've seen them at the tech center. That is about my experience with robots.,233
Pick up the yellow block.,1012,Configuration_1_v1.png,human,5,0:00:08,"Trying to use as much descriptive language, pointing out where blocks are related to each other and what color they are. ",It was actually kind of easy. It was hardest when groups of the same color block were close to each other.,It was pretty fun and rather well paid compared to most.,32,male,Retail Manager,>20,Right,1,2,1,6,7,No,49
"Get up, walk around to my side of the table, and pick up the one yellow block on the table.",1046,Configuration_1_v1.png,human,5,0:00:25,My only strategy was to try to make it seem as straight forward and simplistic as possible for the one who had to pick up the blocks.,It wasn't very challenging. Probably the repetitiveness of it was the hardest.,It was interesting. Thank you.,32,male,Accountant,10/15/2016,Right,1,7,5,5,5,I have not.,41
Pick up the yellow block.,1052,Configuration_1_v1.png,human,5,0:00:12,"Ideally, I could locate a block in a clear, unambiguous way in relation to the other person, e.g. 'the closest [whatever] block to you.' Failing that, I tried to locate the block in relation to other blocks, in such a way that the position was unique, or at least the most probable of several similar possibilities.","This actually reminded me of a similar block orienting task I did some time ago for Percy Liang at Stanford! (That is, he's at Stanford, not me. I'm just here doing the HITs.) So I didn't find it too challenging based on that prior experience. But when I had to indicate a block of a certain color when there were numerous such blocks next to each other on the table--that was somewhat tricky. I'd be interested to see whether the instructions would be used to correctly identify the indicated block.","With the possible exception of the Australian universities, who are operating on a different pay structure, CMU has the best academic HITs on AMT. Thanks for another one.",35,male,Software quality assurance,>20,Right,1,1,2,5,5,"While I've seen them often enough on television, I don't believe I've ever seen one in person.",1
Pick up the yellow block on the table.,1072,Configuration_1_v1.png,human,5,0:00:19,"Divide the table into left and right, near and far. So four quadrants to describe where the chosen block was located.  Also using numbering when necessary to indicate which block i.e. ""second yellow block from the left""",Somewhat challenging.  It was most difficult when there were multiple blocks of the same color located close together and you had to find a way to descriptively single out one from the others.,"It was fun, was not expecting to enjoy it as much as I did.",34,female,Attorney,10/15/2016,Right,1,1,1,2,2,No,9
Grab the yellow block.,1160,Configuration_1_v1.png,human,5,0:00:07,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207
the only yellow block on the table,1164,Configuration_1_v1.png,human,5,0:00:16,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209
Grab the only yellow block.,1254,Configuration_1_v1.png,human,3,0:00:10,"I tried to use directions (leftmost, farthest away, etc.) as much as I could.",It was a fairly straightforward task.  The most challenging aspect was when the targeted block was in the middle of the bunch.,N/A,27,male,Self-employed,>20,Right,1,2,2,7,7,I have never dealt with a robot before.,73
