Description,Index,Scenario,NumOfWords,TargetBlockId,ClickedBlockIdList,Accuracy(AvgOn10),TimeToComplete(AvgOn10),InternalUserIDList
Pick the green block that is right between the cluster of green blocks,344,Configuration_6_v1.png,13,12,"[8, 12, 12, 12, 12, 12, 12, 12, 12, 12]",0.9,14.8419459,"[491, 451, 18, 369, 610, 309, 260, 168, 538, 130]"
Pick the blue block that is right above the orange block,345,Configuration_2_v2.png,11,10,"[10, 10, 5, 10, 10, 10, 10, 10, 5, 10]",0.8,11.5855058,"[513, 619, 319, 584, 97, 466, 143, 224, 603, 379]"
Pick the orange block that is closest to you,347,Configuration_10_v2.png,9,6,"[6, 6, 6, 6, 6, 15, 6, 6, 6, 6]",0.9,5.9268396,"[229, 324, 102, 610, 471, 518, 275, 589, 384, 431]"
Pick the orange block that is closest to you,340,Configuration_13_v1.png,9,2,"[2, 2, 1, 2, 2, 1, 2, 2, 2, 2]",0.8,8.3441277,"[484, 288, 401, 570, 610, 135, 362, 444, 161, 242]"
Pick the yellow block that is farthest to you,341,Configuration_5_v2.png,9,10,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",1.0,12.0758093,"[619, 316, 581, 267, 94, 415, 221, 376, 138, 458]"
Pick the green block that is right below the yellow block,343,Configuration_8_v2.png,11,7,"[7, 13, 7, 7, 13, 10, 8, 7, 10, 7]",0.5,25.265747,"[619, 603, 490, 17, 407, 167, 129, 368, 609, 537]"
Pick the blue block that is closer to you and right next to the yellow block,348,Configuration_14_v1.png,16,3,"[3, 3, 13, 3, 3, 3, 3, 3, 3, 3]",0.9,15.490796,"[312, 619, 133, 494, 577, 113, 263, 217, 454, 372]"
Pick the green block that is closest to you,349,Configuration_9_v2.png,9,6,"[11, 6, 6, 6, 11, 6, 11, 6, 6, 6]",0.7,4.9874452,"[151, 474, 592, 521, 1, 278, 105, 434, 327, 232]"
Pick up the orange block farthest away from you.,298,Configuration_5_v1.png,9,11,"[6, 11, 11, 11, 6, 11, 6, 11, 11, 11]",0.7,6.6636634,"[151, 474, 592, 521, 1, 278, 105, 434, 327, 232]"
Pick up the green block closest to you.,299,Configuration_9_v2.png,8,6,"[6, 6, 11, 6, 6, 6, 6, 6, 6, 6]",0.9,6.0098076,"[312, 619, 133, 494, 577, 113, 263, 217, 454, 372]"
Pick up the blue block farthest away from you.,297,Configuration_12_v2.png,9,1,"[1, 1, 6, 1, 1, 1, 6, 1, 1, 1]",0.8,5.5111518,"[363, 243, 12, 532, 485, 162, 124, 464, 402, 289]"
