sentence_index,word_count,accuracy(1=correct),reverse_study_time/sec,user_id_from_FOWARD_study,r_user_id_from_REVERSE_study,perspective_ambiguity,block_ambiguity
510,22,1,10.887526,242,265,ambiguous,3
716,10,1,4.080461,229,483,neither,1
803,11,1,16.25935,95,136,agent,1
322,15,1,10.347844,89,229,neither,1
243,8,1,5.777974,4,126,neither,1
327,23,0,19.967346,83,229,agent,2
1468,15,0,14.862188,901,277,agent,4
1425,9,1,7.225033,902,587,agent,1
350,15,1,8.799612,80,285,ambiguous,2
356,27,1,12.27749,81,285,agent,1
1388,21,1,9.540305,913,93,agent,1
1103,7,1,7.004593,203,319,ambiguous,3
360,23,0,11.400941,81,324,ambiguous,1
1224,11,1,12.827018,75,227,ambiguous,2
384,9,1,5.84207,87,385,agent,1
544,19,0,3.941399,38,569,ambiguous,2
578,20,0,50.056995,37,376,neither,2
54,29,1,41.963791,212,136,ambiguous,2
1346,15,1,29.813748,914,415,agent,1
707,11,1,26.757846,99,15,agent,1
26,11,1,8.807017,217,489,ambiguous,2
514,21,1,5.050254,242,362,neither,1
164,13,1,23.153491,20,377,ambiguous,1
506,22,0,39.03602,242,366,ambiguous,2
680,13,1,5.636452,251,236,neither,1
676,10,0,14.604815,251,364,agent,1
1285,25,1,14.676077,71,604,ambiguous,1
268,9,1,7.062971,58,583,neither,2
947,10,1,7.335356,234,569,neither,1
399,20,1,3.933269,84,329,ambiguous,2
1160,4,1,3.100328,207,321,neither,1
1084,12,1,5.08417,200,18,neither,1
108,6,1,3.653407,227,153,neither,1
1364,15,0,14.841191,911,297,ambiguous,2
932,17,0,80.804582,238,437,ambiguous,3
390,7,1,3.292121,87,329,neither,1
1357,17,0,10.96948,914,7,ambiguous,2
156,12,0,7.663099,20,124,ambiguous,2
796,34,1,17.858545,92,318,ambiguous,2
950,11,1,6.72948,234,419,agent,1
635,8,1,2.280104,67,274,neither,1
334,24,1,6.511235,83,603,ambiguous,1
954,12,1,6.278382,230,419,agent,1
1324,18,1,30.201434,918,263,neither,2
83,14,1,3.883448,211,386,agent,2
371,10,0,9.382003,86,516,neither,1
1049,22,1,11.008939,41,319,ambiguous,1
563,11,1,24.426464,30,428,ambiguous,4
875,15,0,13.738065,12,156,ambiguous,2
870,17,1,14.311633,12,156,ambiguous,2
17,15,1,15.347961,217,152,neither,2
1187,6,1,3.445355,208,166,ambiguous,2
732,15,1,3.743795,228,245,neither,2
443,11,1,6.414383,7,540,neither,1
626,11,0,3.429597,66,96,neither,1
1214,6,1,4.540199,76,269,neither,1
416,7,1,5.228617,85,364,neither,1
214,18,1,14.166413,29,493,agent,1
1039,18,0,21.274975,41,448,neither,3
364,37,0,30.486676,81,512,agent,1
459,20,1,44.252005,244,490,ambiguous,2
116,9,1,10.66768,90,156,agent,1
7,5,1,4.065468,216,238,neither,1
123,9,1,4.338152,90,296,agent,1
1020,19,1,7.013763,49,142,neither,1
934,15,1,8.376644,238,138,ambiguous,2
363,24,0,28.416919,81,365,agent,1
1399,16,0,6.217893,913,165,ambiguous,1
1416,9,1,6.544276,902,2,ambiguous,2
65,21,1,4.813545,213,9,neither,1
1506,15,1,27.27708,905,312,agent,2
311,14,1,8.928522,89,104,ambiguous,1
898,9,0,31.881067,16,6,agent,3
769,12,1,17.191713,226,422,ambiguous,2
236,19,1,6.597381,222,6,neither,1
494,10,0,2.485963,243,304,ambiguous,2
562,9,0,3.813319,30,487,agnet,1
66,35,1,29.79188,213,321,agent,1
1151,20,0,87.273311,207,281,agent,1
179,12,0,27.881775,21,584,ambiguous,3
694,12,1,4.755253,6,401,neither,1
852,6,1,5.258514,220,443,ambiguous,2
904,6,1,12.583789,16,415,ambiguous,2
811,9,0,13.884869,95,279,agent,1
1027,18,0,256.723061,40,395,agent,1
603,25,0,12.668113,34,135,neither,1
